reelStrip1=8,8,8,8,2,5,1,21,31,41,7,7,7,7,11,11,5,6,7,12,3,3,8,8,8,1,6,6,6,4,4,11,11,7,7,2,3,3,8,8,8,7,7,5,8,8,6,6,6,6,4,10,10,7,7,6,6,6,10,9,9,9,7,7
reelStrip2=10,10,8,9,0,6,1,11,11,11,8,9,9,9,11,11,8,8,7,12,3,3,10,10,10,11,6,6,6,4,4,11,3,9,9,2,1,10,3,0,5,2,9,5,8,8,10,10,10,7,7,8,8,7,7,6,6,6,11,8,9,9,7,7
reelStrip3=10,10,9,8,0,6,1,11,11,11,9,8,9,9,11,11,10,10,6,3,3,12,10,10,8,8,8,3,3,4,4,11,11,9,9,2,1,10,3,0,5,4,9,5,8,8,3,1,21,31,11,8,8,3,3,3,6,3,11,9,9,9,10,7
reelStrip4=10,4,10,6,0,5,11,1,21,31,5,5,5,9,11,11,5,10,5,12,3,3,10,4,4,1,6,6,6,4,4,11,1,7,7,2,3,3,4,8,8,6,5,5,4,4,6,6,6,6,4,10,10,7,7,6,6,6,10,11,11,11,5,5
reelStrip5=10,10,9,4,0,5,1,11,11,11,9,9,9,9,11,11,10,5,4,10,5,12,10,10,10,11,9,4,2,9,4,11,11,9,9,2,10,7,8,8,8,2,2,5,11,11,1,21,31,41,11,5,5,4,3,5,6,4,11,9,9,9,10,7
reelStrip6=7,7,6,2,0,8,5,1,21,31,8,8,8,9,11,11,1,7,5,12,3,3,2,2,7,1,6,6,6,4,4,8,8,7,7,2,3,3,2,8,8,6,8,8,2,2,6,6,6,6,4,10,10,7,7,6,6,6,7,9,11,9,5,8
reelStripBonus1=8,8,8,8,2,5,1,21,31,41,7,7,7,7,11,11,5,6,7,12,3,3,8,8,8,1,6,6,6,4,4,11,11,7,7,2,3,3,8,8,8,7,7,5,8,8,6,6,6,6,4,10,10,7,7,6,6,6,10,9,9,9,7,7
reelStripBonus2=10,10,8,9,0,6,3,11,11,11,8,9,9,9,11,11,10,10,7,12,3,3,10,10,11,11,6,6,6,9,4,4,3,1,0,2,9,11,8,8,8,7,7,5,8,8,10,10,10,10,11,8,8,7,7,6,6,6,11,9,9,9,7,7
reelStripBonus3=10,10,9,8,0,6,3,11,11,11,9,8,9,9,11,11,10,10,3,3,3,12,8,8,10,10,6,1,0,3,8,11,11,4,9,2,3,3,4,6,8,1,5,0,11,3,10,1,21,31,11,8,8,3,3,5,9,4,12,9,9,9,10,7
reelStripBonus4=10,4,10,6,0,5,11,1,21,31,5,5,5,9,11,11,5,7,5,12,3,3,10,3,4,1,6,6,6,4,4,4,3,1,0,2,7,11,4,8,8,6,5,5,4,4,12,6,6,6,4,10,10,7,7,6,6,6,10,11,11,11,5,5
reelStripBonus5=10,10,9,4,0,5,1,11,11,11,9,9,9,9,11,11,10,5,4,10,5,12,10,10,10,11,9,4,2,9,4,11,11,9,9,2,10,7,8,8,8,2,2,5,11,11,1,21,31,41,12,5,5,4,3,5,6,4,11,9,9,9,10,7
reelStripBonus6=7,7,6,2,0,8,5,1,21,31,8,8,8,9,11,11,1,7,5,12,3,3,2,2,7,1,6,6,6,4,4,8,8,7,7,2,3,3,2,8,8,6,8,8,2,2,12,6,6,6,4,10,10,7,7,6,6,6,7,9,11,9,5,8
